ts_code,detect_date
000582.SZ,20251104
000722.SZ,20251104
000777.SZ,20251104
002134.SZ,20251104
002181.SZ,20251104
002555.SZ,20251104
002885.SZ,20251104
002911.SZ,20251104
003011.SZ,20251104
300402.SZ,20251104
600249.SH,20251104
600308.SH,20251104
600977.SH,20251104
601890.SH,20251104
603169.SH,20251104
603312.SH,20251104
603823.SH,20251104
000572.SZ,20251105
000592.SZ,20251105
603616.SH,20251105
000533.SZ,20251106
000720.SZ,20251106
000809.SZ,20251106
002300.SZ,20251106
002310.SZ,20251106
002562.SZ,20251106
002782.SZ,20251106
300062.SZ,20251106
300109.SZ,20251106
300511.SZ,20251106
301548.SZ,20251106
600089.SH,20251106
600522.SH,20251106
601877.SH,20251106
603105.SH,20251106
603530.SH,20251106
603929.SH,20251106
605060.SH,20251106
605123.SH,20251106
000514.SZ,20251107
000534.SZ,20251107
001309.SZ,20251107
002170.SZ,20251107
002176.SZ,20251107
002186.SZ,20251107
002196.SZ,20251107
002255.SZ,20251107
002518.SZ,20251107
002709.SZ,20251107
600506.SH,20251107
600691.SH,20251107
603516.SH,20251107
603978.SH,20251107
000703.SZ,20251110
000756.SZ,20251110
000830.SZ,20251110
001209.SZ,20251110
002038.SZ,20251110
002091.SZ,20251110
002413.SZ,20251110
002658.SZ,20251110
002731.SZ,20251110
002950.SZ,20251110
300072.SZ,20251110
300437.SZ,20251110
300635.SZ,20251110
600078.SH,20251110
600096.SH,20251110
600426.SH,20251110
600537.SH,20251110
600645.SH,20251110
600726.SH,20251110
600875.SH,20251110
600939.SH,20251110
601969.SH,20251110
603612.SH,20251110
603663.SH,20251110
605598.SH,20251110
000935.SZ,20251111
002339.SZ,20251111
300066.SZ,20251111
300069.SZ,20251111
300263.SZ,20251111
300959.SZ,20251111
300997.SZ,20251111
301626.SZ,20251111
600067.SH,20251111
600094.SH,20251111
600103.SH,20251111
600206.SH,20251111
600702.SH,20251111
600810.SH,20251111
603212.SH,20251111
603396.SH,20251111
603938.SH,20251111
605337.SH,20251111
000061.SZ,20251112
002053.SZ,20251112
002218.SZ,20251112
002374.SZ,20251112
002907.SZ,20251112
300164.SZ,20251112
300191.SZ,20251112
300289.SZ,20251112
300388.SZ,20251112
300753.SZ,20251112
300858.SZ,20251112
301305.SZ,20251112
600737.SH,20251112
603758.SH,20251112
000973.SZ,20251113
001298.SZ,20251113
002250.SZ,20251113
002309.SZ,20251113
002326.SZ,20251113
002451.SZ,20251113
300037.SZ,20251113
300350.SZ,20251113
300937.SZ,20251113
301118.SZ,20251113
301193.SZ,20251113
301238.SZ,20251113
600429.SH,20251113
603655.SH,20251113
603867.SH,20251113
603948.SH,20251113
000407.SZ,20251114
000632.SZ,20251114
000633.SZ,20251114
000692.SZ,20251114
000955.SZ,20251114
001203.SZ,20251114
001266.SZ,20251114
002083.SZ,20251114
002780.SZ,20251114
002805.SZ,20251114
002893.SZ,20251114
300483.SZ,20251114
300497.SZ,20251114
300867.SZ,20251114
301019.SZ,20251114
600152.SH,20251114
600167.SH,20251114
600408.SH,20251114
600829.SH,20251114
600903.SH,20251114
603778.SH,20251114
002020.SZ,20251117
300095.SZ,20251117
300589.SZ,20251117
300875.SZ,20251117
301150.SZ,20251117
600097.SH,20251117
600467.SH,20251117
600698.SH,20251117
600829.SH,20251117
603668.SH,20251117
603817.SH,20251117
000407.SZ,20251118
002404.SZ,20251118
002682.SZ,20251118
002715.SZ,20251118
301201.SZ,20251118
301566.SZ,20251118
600577.SH,20251118
000547.SZ,20251119
001216.SZ,20251119
300452.SZ,20251119
301233.SZ,20251119
000065.SZ,20251120
600601.SH,20251120
603002.SH,20251120
605399.SH,20251120
000798.SZ,20251124
605136.SH,20251125
000566.SZ,20251126
002413.SZ,20251126
300902.SZ,20251127
603353.SH,20251128
000878.SZ,20251201
000975.SZ,20251201
001318.SZ,20251201
002157.SZ,20251201
002166.SZ,20251201
002233.SZ,20251201
002277.SZ,20251201
002297.SZ,20251201
002544.SZ,20251201
002625.SZ,20251201
002695.SZ,20251201
002716.SZ,20251201
002839.SZ,20251201
300102.SZ,20251201
300952.SZ,20251201
301109.SZ,20251201
600362.SH,20251201
600879.SH,20251201
601212.SH,20251201
601369.SH,20251201
601717.SH,20251201
603682.SH,20251201
603758.SH,20251201
603967.SH,20251201
000703.SZ,20251202
002983.SZ,20251202
300903.SZ,20251202
300913.SZ,20251202
601188.SH,20251202
000735.SZ,20251203
002353.SZ,20251203
002444.SZ,20251203
300269.SZ,20251203
300596.SZ,20251203
300819.SZ,20251203
300889.SZ,20251203
301148.SZ,20251203
600829.SH,20251203
000078.SZ,20251204
000630.SZ,20251204
000692.SZ,20251204
000838.SZ,20251204
000923.SZ,20251204
001211.SZ,20251204
002107.SZ,20251204
002300.SZ,20251204
600467.SH,20251204
601168.SH,20251204
603696.SH,20251204
603979.SH,20251204
002682.SZ,20251205
600151.SH,20251205
601399.SH,20251205
001219.SZ,20250624
002889.SZ,20250630
000900.SZ,20250701
002001.SZ,20250702
600583.SH,20250702
300883.SZ,20250708
301006.SZ,20250709
603700.SH,20250709
600323.SH,20250715
603661.SH,20250716
601225.SH,20250718
601898.SH,20250718
002523.SZ,20250721
600019.SH,20250721
600039.SH,20250721
600352.SH,20250721
601700.SH,20250721
603315.SH,20250721
603387.SH,20250721
603568.SH,20250721
600380.SH,20250722
600115.SH,20250723
601021.SH,20250723
601111.SH,20250723
000683.SZ,20250725
002142.SZ,20250725
300112.SZ,20250728
000915.SZ,20250804
300615.SZ,20250805
301106.SZ,20250805
000902.SZ,20250806
002377.SZ,20250807
002972.SZ,20250811
300352.SZ,20250814
603273.SH,20250814
600298.SH,20250815
300845.SZ,20250818
600795.SH,20250819
300259.SZ,20250822
603187.SH,20250822
300329.SZ,20250825
300375.SZ,20250825
601888.SH,20250825
002831.SZ,20250827
002270.SZ,20250829
300132.SZ,20250829
300988.SZ,20250829
600690.SH,20250829
603610.SH,20250829
002763.SZ,20250901
301539.SZ,20250908
600594.SH,20250908
002330.SZ,20250915
300750.SZ,20250915
601088.SH,20250916
600060.SH,20250925
002204.SZ,20250930
000597.SZ,20251009
301167.SZ,20251009
600075.SH,20251009
600483.SH,20251009
601061.SH,20251009
601600.SH,20251009
601678.SH,20251009
300512.SZ,20251010
600066.SH,20251010
601611.SH,20251010
000157.SZ,20251014
002884.SZ,20251014
601319.SH,20251014
601919.SH,20251014
000726.SZ,20251015
